Key,Value,Trad,Distance
amenity,public_market,Marché public,
amenity,reception_area,Zone de réception,
amenity,recycling,Bulle à verre,
amenity,recycling,Point de recyclage,
amenity,restaurant,Restaurant,
amenity,retirement_home,Maison de retraite,
amenity,sauna,Sauna,
amenity,school,École,
amenity,shelter,Refuge,
amenity,shop,Magasin,
amenity,shopping,Commerce,
amenity,social_club,Club social,
amenity,studio,Studio,
amenity,supermarket,Supermarché,
amenity,taxi,Taxi,
amenity,telephone,Téléphone public,
amenity,theatre,Théâtre,
amenity,toilets,Toilettes,
amenity,townhall,Hôtel de ville,
amenity,university,Université,
amenity,vending_machine,Distributeur automatique,
amenity,veterinary,Vétérinaire,
amenity,village_hall,Salle communale,
amenity,waste_basket,Corbeille,
amenity,wifi,Accès WiFi,
amenity,youth_centre,Centre pour la jeunesse,
boundary,administrative,Limite administrative,
building,apartments,Immeuble,
building,block,Immeuble,
building,bunker,Bunker,
building,chapel,Chapelle,
building,church,Église,
building,city_hall,Hôtel de ville,
building,commercial,Bâtiment de bureaux,
building,dormitory,Dortoir,
building,entrance,Entrée de bâtiment,
building,faculty,Bâtiment de faculté,
building,farm,Bâtiment de ferme,
building,flats,Appartements,
building,garage,Garage,
building,hall,Salle,
building,hospital,Bâtiment hospitalier,
building,hotel,Hôtel,
building,house,Maison,
building,industrial,Bâtiment industriel,
building,office,Bâtiment de bureaux,
building,public,Bâtiment public,
building,residential,Bâtiment résidentiel,
building,retail,Magasin,
building,school,Bâtiment d'école,
building,shop,Magasin,
building,stadium,Stade,
building,store,Magasin,
building,terrace,Terrasse,
building,tower,Tour,
building,train_station,Gare ferroviaire,
building,university,Bâtiment d'université,
building,"""yes""",Bâtiment,
highway,bridleway,Chemin pour cavaliers,oui
highway,bus_guideway,Voie de bus guidée,oui
highway,bus_stop,Arrêt de bus,
highway,byway,Route secondaire,oui
highway,construction,Route en construction,oui
highway,cycleway,Piste cyclable,oui
highway,distance_marker,Borne kilométrique,
highway,emergency_access_point,Point d'accès d'urgence,
highway,footway,Chemin piéton,oui
highway,ford,Gué,oui
highway,gate,Porte,oui
highway,living_street,Rue résidentielle,oui
highway,minor,Route mineure,oui
highway,motorway,Autoroute,oui
highway,motorway_junction,Jonction d'autoroutes,oui
highway,motorway_link,Bretelle autoroutière,oui
highway,path,Chemin,oui
highway,pedestrian,Chemin piéton,oui
highway,platform,Plateforme,
highway,primary,Route principale,oui
highway,primary_link,Route principale,oui
highway,raceway,Circuit,oui
highway,residential,Rue Résidentiel,oui
highway,road,Route,oui
highway,secondary,Route secondaire,oui
highway,secondary_link,Route secondaire,oui
highway,service,Voie de service,oui
highway,services,Aire de service,oui
highway,steps,Escalier,oui
highway,stile,Échalier,oui
highway,tertiary,Route tertiaire,oui
highway,track,Chemin,oui
highway,trail,Piste,oui
highway,trunk,Voie express,oui
highway,trunk_link,Bretelle de Voie express,oui
highway,unclassified,Route mineure,oui
highway,unsurfaced,Route non revêtue,oui
historic,archaeological_site,Site archéologique,
historic,battlefield,Champ de bataille,
historic,boundary_stone,Borne frontière,
historic,building,Bâtiment,
historic,castle,Château,
historic,church,Église,
historic,house,Maison,
historic,icon,Icône,
historic,manor,Manoir,
historic,memorial,Mémorial,
historic,mine,Mine,
historic,monument,Monument,
historic,museum,Musée,
historic,ruins,Ruines,
historic,tower,Tour,
historic,wayside_cross,Croix de chemin,
historic,wayside_cross,Calvaire,
historic,wayside_shrine,Oratoire,
historic,wreck,Épave,
landuse,allotments,Jardins familiaux,
landuse,basin,Bassin,
landuse,brownfield,Terrain rasé,
landuse,cemetery,Cimetière,
landuse,commercial,Zone tertiaire,
landuse,conservation,Zone protégée,
landuse,construction,Zone en construction,
landuse,farm,Zone agricole,
landuse,farmland,Terrains agricoles,
landuse,farmyard,Bâtiments de ferme,
landuse,forest,Forêt,
landuse,grass,Zone herborée,
landuse,greenfield,Zone de construction future,
landuse,industrial,Zone industrielle,
landuse,landfill,Décharge,
landuse,meadow,Prairie,
landuse,military,Zone militaire,
landuse,mine,Mine,
landuse,mountain,Montagne,
landuse,nature_reserve,Réserve naturelle,
landuse,park,Parc,
landuse,piste,Piste,
landuse,plaza,Plaza,
landuse,quarry,Carrière,
landuse,railway,Voie ferrée,
landuse,recreation_ground,Aire de jeux,
landuse,reservoir,Réservoir,
landuse,residential,Zone résidentielle,
landuse,retail,Zone commerciale,
landuse,village_green,Zone publique herborée,
landuse,vineyard,Vignoble,
landuse,wetland,Zone humide,
landuse,wood,Bois,
leisure,beach_resort,Station balnéaire,
leisure,common,Terrains communaux,
leisure,fishing,Zone de pêche,
leisure,garden,Jardin,
leisure,golf_course,Terrain de golf,
leisure,ice_rink,Patinoire,
leisure,marina,Port de plaisance,
leisure,miniature_golf,Golf miniature,
leisure,nature_reserve,Réserve naturelle,
leisure,park,Parc,
leisure,pitch,Terrain de sport,
leisure,playground,Aire de jeux,
leisure,recreation_ground,Terrain de jeux,
leisure,slipway,Cale de lancement,
leisure,sports_centre,Centre sportif,
leisure,stadium,Stade,
leisure,swimming_pool,Piscine,
leisure,track,Piste,
leisure,water_park,Parc aquatique,
natural,bay,Baie,
natural,beach,Plage,
natural,cape,Cap,
natural,cave_entrance,Entrée de grotte,
natural,channel,Canal,
natural,cliff,Falaise,
natural,coastline,Littoral,
natural,crater,Cratère,
natural,feature,Élément,
natural,fell,Fell,
natural,fjord,Fjord,
natural,geyser,Geyser,
natural,glacier,Glacier,
natural,heath,Bruyère,
natural,hill,Colline,
natural,island,Île,
natural,land,Terre,
natural,marsh,Marécage,
natural,moor,Maure,
natural,mud,Boue,
natural,peak,Pic,
natural,point,Pointe,
natural,reef,Récif,
natural,ridge,Crête,
natural,river,Rivière,
natural,rock,Roche,
natural,scree,Éboulis,
natural,scrub,Broussailles,
natural,shoal,Haut-fond,
natural,spring,Cascade,
natural,strait,Détroit,
natural,tree,Arbre,
natural,valley,Vallée,
natural,volcano,Volcan,
natural,water,Eau,
natural,wetland,Zone humide,
natural,wetlands,Zones humides,
natural,wood,Forêt,
place,city,Ville,
place,country,Pays,
place,county,Comté,
place,farm,Ferme,
place,hamlet,Hameau,
place,house,Maison,
place,houses,Maisons,
place,island,Île,
place,islet,Îlot,
place,locality,Localité,
place,moor,Maure,
place,municipality,Municipalité,
place,postcode,Code postal,
place,region,Région,
place,sea,Mer,
place,state,État,
place,subdivision,Subdivision,
place,suburb,Quartier,
place,town,Ville,
place,unincorporated_area,Lieu non organisé,
place,village,Village,
railway,abandoned,Voie ferrée abandonnée,oui
railway,construction,Voie ferrée en construction,oui
railway,disused,Voie ferrée désaffectée,oui
railway,disused_station,Gare désaffectée,
railway,funicular,Voie de funiculaire,oui
railway,halt,Arrêt de train,
railway,historic_station,Arrêt de train historique,
railway,junction,Jonction ferroviaire,
railway,level_crossing,Passage à niveau,
railway,light_rail,Petite voie ferrée,oui
railway,monorail,Monorail,oui
railway,narrow_gauge,Chemin de fer à voie étroite,oui
railway,platform,Plateforme ferroviaire,
railway,preserved,Voie ferrée conservée,oui
railway,spur,Voie de connexion,oui
railway,station,Gare ferroviaire,
railway,subway,Station de métro,
railway,subway_entrance,Bouche de métro,
railway,switch,Aiguillage,
railway,tram,Tramway,
railway,tram_stop,Arrêt de tram,
railway,yard,Voie de triage,oui
shop,alcohol,Magasin officiel d'alcool,
shop,apparel,Magasin d'habillement,
shop,art,Boutique d'art,
shop,bakery,Boulangerie,
shop,beauty,Magasin de produits de beauté,
shop,beverages,Magasin de boissons,
shop,bicycle,Magasin de vélos,
shop,books,Librairie,
shop,butcher,Boucher,
shop,butcher,Boucherie,
shop,car,Magasin de voitures,
shop,car_dealer,Vendeur de voitures,
shop,car_parts,Pièces d'automobile,
shop,car_repair,Réparation de voitures,
shop,carpet,Magasin de tapis,
shop,charity,Magasin de bienfaisance,
shop,chemist,Magasin de produits d'hygiène,
shop,clothes,Magasin de vêtements,
shop,computer,Magasin informatique,
shop,confectionery,Confiserie,
shop,convenience,Épicerie,
shop,copyshop,Magasin de photocopies,
shop,cosmetics,Magasin de cosmétiques,
shop,department_store,Grand magasin,
shop,discount,Magasin discount,
shop,doityourself,Magasin de bricolage,
shop,drugstore,Pharmacie,
shop,dry_cleaning,Nettoyage à sec,
shop,electronics,Magasin d'électronique,
shop,estate_agent,Agent immobilier,
shop,farm,Magasin de produits agricoles,
shop,fashion,Magasin de mode,
shop,fish,Poissonnerie,
shop,florist,Fleuriste,
shop,food,Magasin d'alimentation,
shop,funeral_directors,Pompes funèbres,
shop,furniture,Magasin d'ameublement,
shop,gallery,Galerie,
shop,garden_centre,Jardinerie,
shop,general,Magasin généraliste,
shop,gift,Boutique de cadeaux,
shop,greengrocer,Marchand de fruits et légumes,
shop,grocery,Épicerie,
shop,hairdresser,Coiffeur,
shop,hardware,Quincaillerie,
shop,hifi,Magasin Hi-Fi,
shop,insurance,Assurance,
shop,jewelry,Bijouterie,
shop,kiosk,Kiosque,
shop,laundry,Blanchisserie,
shop,mall,Galerie marchande,
shop,market,Marché,
shop,mobile_phone,Magasin de téléphones mobiles,
shop,motorcycle,Magasin de moto,
shop,music,Magasin de musique,
shop,newsagent,Marchand de journaux,
shop,optician,Opticien,
shop,organic,Magasin bio,
shop,outdoor,Magasin d'activités de plein air,
shop,pet,Magasin d'animaux,
shop,photo,Magasin de photographie,
shop,salon,Salon,
shop,shoes,Magasin de chaussures,
shop,shopping_centre,Centre commercial,
shop,sports,Magasin de sport,
shop,stationery,Papeterie,
shop,supermarket,Supermarché,
shop,toys,Magasin de jouets,
shop,travel_agency,Agence de voyage,
shop,video,Magasin de vidéos,
shop,wine,Caviste,
tourism,alpine_hut,Refuge,
tourism,artwork,Œuvre d’art,
tourism,attraction,Attraction,
tourism,bed_and_breakfast,Gîte,
tourism,cabin,Hutte,
tourism,camp_site,Camping,
tourism,caravan_site,Site de caravane,
tourism,chalet,Chalet,
tourism,guest_house,Maison d'hôte,
tourism,hostel,Auberge,
tourism,hotel,Hôtel,
tourism,information,Informations,
tourism,lean_to,Stand,
tourism,motel,Motel,
tourism,museum,Musée,
tourism,picnic_site,Site de pique-nique,
tourism,theme_park,Parc à thème,
tourism,valley,Vallée,
tourism,viewpoint,Point de vue,
tourism,zoo,Zoo,
waterway,boatyard,Chantier naval,
waterway,canal,Canal,oui
waterway,connector,Connexion hydrographique,oui
waterway,dam,Digue,oui
waterway,derelict_canal,Canal de délaissement,oui
waterway,ditch,Fossé,
waterway,dock,Dock,
waterway,drain,Drain,oui
waterway,lock,Écluse,oui
waterway,lock_gate,Porte d'écluse,
waterway,mineral_spring,Source d'eau minérale,oui
waterway,mooring,Mouillage,
waterway,rapids,Rapides,oui
waterway,river,Rivière,oui
waterway,riverbank,Lit de rivière,oui
waterway,stream,Ruisseau,oui
waterway,wadi,Oued,oui
waterway,water_point,Point d'eau,
waterway,waterfall,Chute d'eau,
waterway,weir,Barrage,oui
shop,butcher,Charcuterie,
amenity,fuel,Station service,
amenity,townhall,Mairie,
shop,car_repair,Garage Automobile,
shop,dry_cleaning,Teinturerie,
shop,dry_cleaning,Pressing,
amenity,driving_school,Auto-école,
shop,greengrocer,Primeur,
amenity,doctors,Médecin,
amenity,place_of_worship,Église,
tourism,information,Office de tourisme,
